record_id,state,id,state_code,year,deaths,births,maternal_mortality_ratio,population
0,Alabama,US.AL,1,2015,12,59657,20.11,2505795
1,Alabama,US.AL,1,2016,35,59151,59.17,2507714
2,Alabama,US.AL,1,2017,41,58941,69.56,2514911
3,Alabama,US.AL,1,2018,31,57761,53.67,2523756
4,Alabama,US.AL,1,2019,35,58615,59.71,2533668
5,Arizona,US.AZ,4,2010,17,87477,19.43,3216194
6,Arizona,US.AZ,4,2011,15,85543,17.54,3258634
7,Arizona,US.AZ,4,2012,25,86441,28.92,3294772
8,Arizona,US.AZ,4,2013,23,85600,26.87,3331505
9,Arizona,US.AZ,4,2014,24,86887,27.62,3387637
10,Arizona,US.AZ,4,2015,20,85351,23.43,3436575
11,Arizona,US.AZ,4,2016,25,84520,29.58,3488176
12,Arizona,US.AZ,4,2017,24,81872,29.31,3527969
13,Arizona,US.AZ,4,2018,24,80723,29.73,3606307
14,Arizona,US.AZ,4,2019,32,79375,40.31,3661420
15,Arkansas,US.AR,5,2009,20,39808,50.24,1475013
16,Arkansas,US.AR,5,2010,13,38540,33.73,1484281
17,Arkansas,US.AR,5,2011,10,38715,25.83,1495200
18,Arkansas,US.AR,5,2012,18,38347,46.94,1500641
19,Arkansas,US.AR,5,2013,15,37832,39.65,1505782
20,Arkansas,US.AR,5,2014,23,38511,59.72,1509053
21,Arkansas,US.AR,5,2015,16,38886,41.15,1515348
22,Arkansas,US.AR,5,2016,17,38274,44.42,1520375
23,Arkansas,US.AR,5,2017,14,37520,37.31,1528215
24,Arkansas,US.AR,5,2018,23,37018,62.13,1533682
25,Arkansas,US.AR,5,2019,14,36564,38.29,1536188
26,California,US.CA,6,2009,107,527020,20.3,18583075
27,California,US.CA,6,2010,82,510198,16.07,18736126
28,California,US.CA,6,2011,71,502120,14.14,18943585
29,California,US.CA,6,2012,81,503755,16.08,19122866
30,California,US.CA,6,2013,77,494705,15.56,19268325
31,California,US.CA,6,2014,88,502879,17.5,19533596
32,California,US.CA,6,2015,84,491748,17.08,19701750
33,California,US.CA,6,2016,91,488827,18.62,19756656
34,California,US.CA,6,2017,90,471658,19.08,19889100
35,California,US.CA,6,2018,81,454920,17.81,19893468
36,California,US.CA,6,2019,71,446479,15.9,19867369
37,Colorado,US.CO,8,2013,12,65007,18.46,2621921
38,Colorado,US.CO,8,2014,16,65830,24.31,2664707
39,Colorado,US.CO,8,2015,10,66581,15.02,2712811
40,Colorado,US.CO,8,2016,16,66613,24.02,2754727
41,Colorado,US.CO,8,2017,18,64382,27.96,2784821
42,Colorado,US.CO,8,2019,15,62869,23.86,2857388
43,Connecticut,US.CT,9,2011,14,37281,37.55,1835893
44,Connecticut,US.CT,9,2017,11,35221,31.23,1836384
45,Florida,US.FL,12,2009,71,221394,32.07,9534289
46,Florida,US.FL,12,2010,47,214590,21.9,9611955
47,Florida,US.FL,12,2011,50,213414,23.43,9736166
48,Florida,US.FL,12,2012,64,213148,30.03,9869741
49,Florida,US.FL,12,2013,83,215407,38.53,9990213
50,Florida,US.FL,12,2014,62,219991,28.18,10170011
51,Florida,US.FL,12,2015,68,224269,30.32,10368733
52,Florida,US.FL,12,2016,50,225022,22.22,10542288
53,Florida,US.FL,12,2017,48,223630,21.46,10727581
54,Florida,US.FL,12,2018,54,221542,24.37,10887548
55,Florida,US.FL,12,2019,69,220002,31.36,10980681
56,Georgia,US.GA,13,2009,36,141377,25.46,4917756
57,Georgia,US.GA,13,2010,38,133947,28.37,4958482
58,Georgia,US.GA,13,2011,48,132409,36.25,5012403
59,Georgia,US.GA,13,2012,40,130280,30.7,5068921
60,Georgia,US.GA,13,2013,82,128748,63.69,5110806
61,Georgia,US.GA,13,2014,104,130946,79.42,5170356
62,Georgia,US.GA,13,2015,98,131404,74.58,5234978
63,Georgia,US.GA,13,2016,73,130042,56.14,5289906
64,Georgia,US.GA,13,2017,74,129243,57.26,5353872
65,Georgia,US.GA,13,2018,62,126172,49.14,5404059
66,Georgia,US.GA,13,2019,64,126371,50.64,5456999
67,Idaho,US.ID,16,2010,10,23198,43.11,782258
68,Illinois,US.IL,17,2009,35,171163,20.45,6520723
69,Illinois,US.IL,17,2010,29,165200,17.55,6538356
70,Illinois,US.IL,17,2011,45,161312,27.9,6555063
71,Illinois,US.IL,17,2012,35,159160,21.99,6555800
72,Illinois,US.IL,17,2013,27,156931,17.21,6555652
73,Illinois,US.IL,17,2014,32,158556,20.18,6559694
74,Illinois,US.IL,17,2015,40,158116,25.3,6545500
75,Illinois,US.IL,17,2016,28,154445,18.13,6509748
76,Illinois,US.IL,17,2017,39,149390,26.11,6509545
77,Illinois,US.IL,17,2018,22,144815,15.19,6480179
78,Illinois,US.IL,17,2019,20,140128,14.27,6445263
79,Indiana,US.IN,18,2009,16,86673,18.46,3281477
80,Indiana,US.IN,18,2010,14,83940,16.68,3294065
81,Indiana,US.IN,18,2011,43,83701,51.37,3309937
82,Indiana,US.IN,18,2012,36,83227,43.26,3319144
83,Indiana,US.IN,18,2013,35,83102,42.12,3334634
84,Indiana,US.IN,18,2014,38,84080,45.2,3347411
85,Indiana,US.IN,18,2015,46,84040,54.74,3357815
86,Indiana,US.IN,18,2016,50,83091,60.17,3363491
87,Indiana,US.IN,18,2017,40,82170,48.68,3379723
88,Indiana,US.IN,18,2018,23,81646,28.17,3391576
89,Indiana,US.IN,18,2019,33,80859,40.81,3411859
90,Iowa,US.IA,19,2014,11,39687,27.72,1564081
91,Iowa,US.IA,19,2016,12,39403,30.45,1575574
92,Iowa,US.IA,19,2017,12,38430,31.23,1580978
93,Kansas,US.KS,20,2009,13,41396,31.4,1428139
94,Kansas,US.KS,20,2010,11,40649,27.06,1437710
95,Kansas,US.KS,20,2013,15,38839,38.62,1452009
96,Kansas,US.KS,20,2016,11,38053,28.91,1459530
97,Kansas,US.KS,20,2017,10,36519,27.38,1461167
98,Kansas,US.KS,20,2019,13,35395,36.73,1461617
99,Kentucky,US.KY,21,2010,17,55784,30.47,2204415
100,Kentucky,US.KY,21,2011,11,55370,19.87,2219482
101,Kentucky,US.KY,21,2013,19,55686,34.12,2231899
102,Kentucky,US.KY,21,2015,17,55971,30.37,2245998
103,Kentucky,US.KY,21,2016,29,55449,52.3,2250421
104,Kentucky,US.KY,21,2017,18,54752,32.88,2259871
105,Kentucky,US.KY,21,2018,29,53922,53.78,2266891
106,Kentucky,US.KY,21,2019,21,53069,39.57,2266644
107,Louisiana,US.LA,22,2012,28,62642,44.7,2349843
108,Louisiana,US.LA,22,2013,47,63201,74.37,2361537
109,Louisiana,US.LA,22,2014,40,64497,62.02,2375737
110,Louisiana,US.LA,22,2015,44,64692,68.01,2386915
111,Louisiana,US.LA,22,2016,56,63178,88.64,2392296
112,Louisiana,US.LA,22,2017,41,61018,67.19,2394887
113,Louisiana,US.LA,22,2018,22,59615,36.9,2385219
114,Louisiana,US.LA,22,2019,26,58941,44.11,2381744
115,Maryland,US.MD,24,2009,18,75059,23.98,2960001
116,Maryland,US.MD,24,2010,26,73801,35.23,2981790
117,Maryland,US.MD,24,2011,24,73093,32.83,3007715
118,Maryland,US.MD,24,2012,20,72883,27.44,3034160
119,Maryland,US.MD,24,2013,15,71953,20.85,3054052
120,Maryland,US.MD,24,2014,22,73921,29.76,3079989
121,Maryland,US.MD,24,2015,16,73616,21.73,3095316
122,Maryland,US.MD,24,2016,13,73136,17.78,3101981
123,Maryland,US.MD,24,2017,25,71641,34.9,3118023
124,Maryland,US.MD,24,2018,17,71080,23.92,3113797
125,Maryland,US.MD,24,2019,22,70178,31.35,3116815
126,Massachusetts,US.MA,25,2016,18,71317,25.24,3506128
